portfolio_position,intervention_id,intervention_name,target_profiles,admission_lane,base_efficiency_rank_low,base_efficiency_rank_high,optimistic_efficiency_rank_low,optimistic_efficiency_rank_high,scarcity_efficiency_rank_low,scarcity_efficiency_rank_high,informative_rank_best,informative_rank_worst,admission_lane_rank_low,admission_lane_rank_high,conservative_efficiency_rank_low,conservative_efficiency_rank_high
1,NAT-121,Bahasa Indonesia,id-Latn-ID,base,1,1,1,1,25,25,1,25,1,1,1,134
2,NAT-001,Bangladesh Bangla,bn-Beng-BD,optimistic,3,3,2,2,11,11,2,11,2,2,1,134
3,NAT-003,Telugu,te-Telu-IN,scarcity,4,4,6,6,1,1,1,6,1,1,1,134
4,NAT-002,Indian Bengali,bn-Beng-IN,base,2,2,3,3,9,9,2,9,2,2,1,134
5,NAT-028,Vietnamese,vi-Latn-VN,optimistic,7,7,4,4,17,17,4,17,4,4,1,134
6,NAT-006,Marathi,mr-Deva-IN,scarcity,5,5,7,7,2,2,2,7,2,2,1,134
7,NAT-004,Indian Tamil,ta-Taml-IN,base,6,6,9,9,5,5,5,9,6,6,1,134
8,NAT-015,Western Punjabi,pnb-Arab-PK,optimistic,13,13,5,5,35,134,5,13,5,5,1,134
9,NAT-038,Javanese,jv-Latn-ID,scarcity,9,9,8,8,3,3,3,9,3,3,1,134
10,NAT-007,Gujarati,gu-Gujr-IN,base,8,8,11,11,4,4,4,11,8,8,1,134
11,NAT-029,Thai,th-Thai-TH,optimistic,12,12,10,10,21,21,10,21,10,10,1,134
12,NAT-010,Odia,or-Orya-IN,scarcity,15,15,19,19,6,6,6,19,6,6,1,134
13,NAT-008,Kannada,kn-Knda-IN,base,10,10,13,13,13,13,10,13,10,10,1,134
14,NAT-013,Indian Urdu,ur-Arab-IN,optimistic,11,11,12,12,7,7,7,12,12,12,1,134
15,NAT-030,Burmese,my-Mymr-MM,scarcity,18,18,14,14,8,8,8,18,8,8,1,134
16,NAT-009,Malayalam,ml-Mlym-IN,base,14,14,17,17,12,12,12,17,14,14,1,134
17,EXP-003,Uzbekistan Uzbek Latin-script edition,uz-Latn-UZ,optimistic,17,17,15,15,19,19,15,19,15,15,1,134
18,NAT-014,Eastern Punjabi,pa-Guru-IN,scarcity,16,16,22,22,10,10,10,22,10,10,1,134
19,NAT-039,Sundanese,su-Latn-ID,base,19,19,18,18,14,14,14,19,19,19,1,134
20,NAT-018,Sindhi,sd-Arab-PK,optimistic,21,21,16,16,15,15,15,21,16,16,1,134
