course	order	source_id	chapter	title_en	canonical_path	source_sha256	indonesian_path	bridge_lane	telugu_status
A10	1	m82630	Front/back matter	Preface	downloads/upstream-prealgebra/modules/m82630/index.cnxml	d9f45fb31f4cb399c009c2be25eca1a99132b4b6882fb07f8649c2d56974f90b	downloads/releases/A10/extracted/translated/modules/m82630/index.cnxml	A10-later-extension	not_started
A10	2	m82451	Foundations	Introduction	downloads/upstream-prealgebra/modules/m82451/index.cnxml	025f994e3c66f19462c9423788f703f7987fecb67656911d840fdd15a58d8a4a	downloads/releases/A10/extracted/translated/modules/m82451/index.cnxml	A10-later-extension	not_started
A10	3	m82452	Foundations	Introduction to Whole Numbers	downloads/upstream-prealgebra/modules/m82452/index.cnxml	0eaf5db27fd4e16e70d34d4b936abe173b93699e267b519e449c7b56f7233310	downloads/releases/A10/extracted/translated/modules/m82452/index.cnxml	A10-later-extension	not_started
A10	4	m82453	Foundations	Use the Language of Algebra	downloads/upstream-prealgebra/modules/m82453/index.cnxml	a8fdd235aa254c5a0a1248fa858e9b3579d9b40982bbc514cbe6a18c3e6fcbed	downloads/releases/A10/extracted/translated/modules/m82453/index.cnxml	A10-later-extension	not_started
A10	5	m82454	Foundations	Add and Subtract Integers	downloads/upstream-prealgebra/modules/m82454/index.cnxml	4483b9df8736598af20287450b89cf367728da04c697f85f1abb64bbeffb092f	downloads/releases/A10/extracted/translated/modules/m82454/index.cnxml	A10-later-extension	not_started
A10	6	m82455	Foundations	Multiply and Divide Integers	downloads/upstream-prealgebra/modules/m82455/index.cnxml	794635f93249017847f2646910d007e9de53b00ee6037133aa5c3edb7c2b88ec	downloads/releases/A10/extracted/translated/modules/m82455/index.cnxml	A10-later-extension	not_started
A10	7	m82456	Foundations	Visualize Fractions	downloads/upstream-prealgebra/modules/m82456/index.cnxml	1d3b69d74603175eb3c8aae95319b14bee988a56345c67384c0090b29995ab33	downloads/releases/A10/extracted/translated/modules/m82456/index.cnxml	A10-later-extension	not_started
A10	8	m82457	Foundations	Add and Subtract Fractions	downloads/upstream-prealgebra/modules/m82457/index.cnxml	a8db22ca9c8c10c7f95fa3aa4dcb18596711741478515c220a75e291273983e9	downloads/releases/A10/extracted/translated/modules/m82457/index.cnxml	A10-later-extension	not_started
A10	9	m82458	Foundations	Decimals	downloads/upstream-prealgebra/modules/m82458/index.cnxml	678dc0c3ae2aad0192c0314395541720d6c6eb97f56d2f4d169f056fe1e630cb	downloads/releases/A10/extracted/translated/modules/m82458/index.cnxml	A10-later-extension	not_started
A10	10	m82459	Foundations	The Real Numbers	downloads/upstream-prealgebra/modules/m82459/index.cnxml	730f4347e986d692a35dbecd7d22a68b461de068dafe077809c9f37844ab2fb0	downloads/releases/A10/extracted/translated/modules/m82459/index.cnxml	A10-later-extension	not_started
A10	11	m82460	Foundations	Properties of Real Numbers	downloads/upstream-prealgebra/modules/m82460/index.cnxml	ee089e74a6609868c94808e624d57016de348a791b577458c539c93584bba9a5	downloads/releases/A10/extracted/translated/modules/m82460/index.cnxml	A10-later-extension	not_started
A10	12	m82461	Foundations	Systems of Measurement	downloads/upstream-prealgebra/modules/m82461/index.cnxml	df82cee2f1a278bb88f392572457ee679bc09d108962a9b6c72ba5bb0084655e	downloads/releases/A10/extracted/translated/modules/m82461/index.cnxml	A10-later-extension	not_started
A10	13	m82462	Solving Linear Equations and Inequalities	Introduction	downloads/upstream-prealgebra/modules/m82462/index.cnxml	7f29e8b9558d6d37553e5991cfffc7cc27c320e2a92ed98db563e76a90e8a51e	downloads/releases/A10/extracted/translated/modules/m82462/index.cnxml	A10-later-extension	not_started
A10	14	m82463	Solving Linear Equations and Inequalities	Solve Equations Using the Subtraction and Addition Properties of Equality	downloads/upstream-prealgebra/modules/m82463/index.cnxml	b6345a5a6a99108f9d32d6518445a4ae70a6b0c54a258021dffc6f2b77b8278a	downloads/releases/A10/extracted/translated/modules/m82463/index.cnxml	A10-later-extension	not_started
A10	15	m82464	Solving Linear Equations and Inequalities	Solve Equations using the Division and Multiplication Properties of Equality	downloads/upstream-prealgebra/modules/m82464/index.cnxml	099aae173772040a83d8c9160980922315352fc2a699af7c6f25ddc594a0c0bc	downloads/releases/A10/extracted/translated/modules/m82464/index.cnxml	A10-later-extension	not_started
A10	16	m82465	Solving Linear Equations and Inequalities	Solve Equations with Variables and Constants on Both Sides	downloads/upstream-prealgebra/modules/m82465/index.cnxml	320496fe179611ea5e34e8bbf62a28317385e19a2c8038f304183a9dd5847692	downloads/releases/A10/extracted/translated/modules/m82465/index.cnxml	A10-later-extension	not_started
A10	17	m82467	Solving Linear Equations and Inequalities	Use a General Strategy to Solve Linear Equations	downloads/upstream-prealgebra/modules/m82467/index.cnxml	ba8c5d2d4c0fed618bbf37ebf94d4f18681672d2563b3ae670bd07fad52de7b5	downloads/releases/A10/extracted/translated/modules/m82467/index.cnxml	A10-later-extension	not_started
A10	18	m82468	Solving Linear Equations and Inequalities	Solve Equations with Fractions or Decimals	downloads/upstream-prealgebra/modules/m82468/index.cnxml	c37321a5d8e4dd5f83f90b4b65c2b3516474b5cdea885f84a28ca15e5cea37e0	downloads/releases/A10/extracted/translated/modules/m82468/index.cnxml	A10-later-extension	not_started
A10	19	m82469	Solving Linear Equations and Inequalities	Solve a Formula for a Specific Variable	downloads/upstream-prealgebra/modules/m82469/index.cnxml	16d4267bb97fc62bff7a71c2d6051796d0c9dbf7f98f3bfc978d60ba07574676	downloads/releases/A10/extracted/translated/modules/m82469/index.cnxml	A10-later-extension	not_started
A10	20	m82470	Solving Linear Equations and Inequalities	Solve Linear Inequalities	downloads/upstream-prealgebra/modules/m82470/index.cnxml	e0c457e6b1fb1da6d93a1ffca68347b7afb1bd73683ed9575a10672b4aef13c9	downloads/releases/A10/extracted/translated/modules/m82470/index.cnxml	A10-later-extension	not_started
A10	21	m82471	Math Models	Introduction	downloads/upstream-prealgebra/modules/m82471/index.cnxml	d26124fab62ee09dc6aba226b74e272380f313a30a35c68551688a3e58b5403f	downloads/releases/A10/extracted/translated/modules/m82471/index.cnxml	A10-later-extension	not_started
A10	22	m82472	Math Models	Use a Problem-Solving Strategy	downloads/upstream-prealgebra/modules/m82472/index.cnxml	20ce180be4410e0f5112d1b6656bf7893d61798b6afaa119ab21f4697eb435d5	downloads/releases/A10/extracted/translated/modules/m82472/index.cnxml	A10-later-extension	not_started
A10	23	m82473	Math Models	Solve Percent Applications	downloads/upstream-prealgebra/modules/m82473/index.cnxml	e6dc099430c7ecd3d26f843827ac2f89936a2fe30b09f1ffd02b23622d278ec2	downloads/releases/A10/extracted/translated/modules/m82473/index.cnxml	A10-later-extension	not_started
A10	24	m82475	Math Models	Solve Mixture Applications	downloads/upstream-prealgebra/modules/m82475/index.cnxml	a0914cc484f0ae4244cb0bd25bde40ce9e0a7ad959cc7cf9c22605ac0feac21f	downloads/releases/A10/extracted/translated/modules/m82475/index.cnxml	A10-later-extension	not_started
A10	25	m82476	Math Models	Solve Geometry Applications: Triangles, Rectangles, and the Pythagorean Theorem	downloads/upstream-prealgebra/modules/m82476/index.cnxml	99e3e706aed8738ab63f09403baedc7c1825f21a1bc90e3663da198f94270aaa	downloads/releases/A10/extracted/translated/modules/m82476/index.cnxml	A10-later-extension	not_started
A10	26	m82477	Math Models	Solve Uniform Motion Applications	downloads/upstream-prealgebra/modules/m82477/index.cnxml	82b5b6794f3a95980f111a82ebc9369052d84ef620b07842aa5264187a960103	downloads/releases/A10/extracted/translated/modules/m82477/index.cnxml	A10-later-extension	not_started
A10	27	m82478	Math Models	Solve Applications with Linear Inequalities	downloads/upstream-prealgebra/modules/m82478/index.cnxml	b9f66a9d5fcc0c97c095b18d87f8df9432517bc4743eeb5a5b82f12b202c856b	downloads/releases/A10/extracted/translated/modules/m82478/index.cnxml	A10-later-extension	not_started
A10	28	m82479	Graphs	Introduction	downloads/upstream-prealgebra/modules/m82479/index.cnxml	11359ef93240afac73da457cef99f43f9f822d0cc31f92384da0e0284db17571	downloads/releases/A10/extracted/translated/modules/m82479/index.cnxml	A10-later-extension	not_started
A10	29	m82480	Graphs	Use the Rectangular Coordinate System	downloads/upstream-prealgebra/modules/m82480/index.cnxml	2a6a9119b3419219268b6020706b407f7053640f24769b0457938e4ed6dc7d49	downloads/releases/A10/extracted/translated/modules/m82480/index.cnxml	A10-later-extension	not_started
A10	30	m82481	Graphs	Graph  Linear Equations in Two Variables	downloads/upstream-prealgebra/modules/m82481/index.cnxml	3dad2cfd94f46ca7866b3ed31cc7c61981ae32b655cb45b1f6ec8abb06d20690	downloads/releases/A10/extracted/translated/modules/m82481/index.cnxml	A10-later-extension	not_started
A10	31	m82482	Graphs	Graph with Intercepts	downloads/upstream-prealgebra/modules/m82482/index.cnxml	48d870bf629ec82c95e917aec7663a070460a972b1d6f7b352e62c1ca146f610	downloads/releases/A10/extracted/translated/modules/m82482/index.cnxml	A10-later-extension	not_started
A10	32	m82483	Graphs	Understand Slope of a Line	downloads/upstream-prealgebra/modules/m82483/index.cnxml	8130cebf809a00beb5ce8f70b7c8bddbc54891e473f932e6ada9786e2a7d8102	downloads/releases/A10/extracted/translated/modules/m82483/index.cnxml	A10-later-extension	not_started
